species_name,alt_name,coun_iso,description,common_name,class,order,family,genus,species,subspecies,fish,fillet,bones,head,eyes,viscera,skin,dorsal,ventral,fin,roe,liver,leg,othpart,othpart_sp,lean,fatty,young,farmed,habcat,depmin,depmax,range,maxlen,lencat,a_lw,b_lw,troph,protein,fat,iron,zinc,vita,vitb12,vitd,kcal,fac_sat,fac_mon,fac_pol,fac3_pol,fac6_pol,chol,lysine,trigly,retinol,notes
[UNIT],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,m,,cm,,,,,g/100g,g/100g,mg/100g,mg/100g,RE/100g,mcg/100g,mcg/100g,kcal,g/100g,g/100g,g/100g,g/100g,g/100g,mg/100g,mg/100g,mg/100g,mcg/100g,
Acanthistius_brasilianus,,ARG,Argentinan seabass; fresh; raw; meat,Argentine Seabass,Actinopterygii,Perciformes,Serranidae,Acanthistius,brasilianus,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Benthopelagic,30,NA,Subtropical,60,Small (<30 cm),0.00955,2.96,4,17.9,1,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Acanthogobius_flavimanus,,JPN/KOR,Goby,Goby,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,flavimanus,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Demersal,1,6,Temperate,30,Small (<30 cm),NA,NA,3.39,18.9,0.65,2.1,0.6,7,2.7,3,86.5,0.03,0.02,0.04,0.03,0.01,92,NA,NA,10.5,average of two from different FCTs
Acanthogobius_hasta,,KOR,Javelin goby,Javelin goby,Actinopterygii,Gobioidei,Gobiidae,Acanthogobius,hasta,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Demersal,NA,NA,Temperate,50,Small (<30 cm),NA,NA,3,16.4,0.7,0.9,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,9,
Acanthopagrus_schlegelii,,JPN/KOR,Black sea bream,Black sea bream,Actinopterygii,Perciformes,Sparidae,Acanthopagrus,schlegelii,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Demersal,15,50,Subtropical,61,Medium (30-90 cm),NA,NA,3.24,19.6,4.5,0.75,0.8,12,3.7,4,125.5,1.78,2.33,1.07,0.89,0.15,78,NA,NA,15,average of two from different FCTs
Acheilognathus_rhombeus,,KOR,Flat bitterling,Flat bitterling,Actinopterygii,Cypriniformes,Cyprinidae,Acheilognathus,rhombeus,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Benthopelagic,NA,NA,Temperate,NA,Small (<30 cm),0.01023,3.09,2.1,17.5,1.2,1.2,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,6,
Ailia_coila,,BGD,Gangetic ailia; raw,Gangetic Ailia,Actinopterygii,Siluriformes,Schilbeidae,Ailia,coila,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Pelagic,NA,NA,Tropical,30,Small (<30 cm),0.00661,3.05,3.4,15.3,6.2,0.9,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Alcichthys_elongatus,Alcichthys_alcicornis,KOR,Elkhorn sculpin,Elkhorn sculpin,Actinopterygii,Scorpaeniformes,Cottidae,Alcichthys,elongatus,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Demersal,15,269,Boreal,44,Small (<30 cm),0.00661,3.17,3.6,17.1,0.1,0.8,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,3,
Allothunnus_fallai,,,Tuna; slender; flesh; raw,Slender Tuna,Actinopterygii,Perciformes,Scombridae,Allothunnus,fallai,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,NA,NA,NA,NA,Pelagic,0,20,Subtropical,105,Medium (30-90 cm),NA,NA,3.7,19.8,23.9,1.3,1.1,227,0.7,NA,293,NA,NA,NA,NA,NA,66,NA,NA,227,
Amblypharyngodon_mola,,BGD,Mola carplet; whole; eyes included; raw,Mola Carplet,Actinopterygii,Cypriniformes,Cyprinidae,Amblypharyngodon,mola,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,NA,NA,NA,NA,Benthopelagic,NA,NA,Tropical,20,Small (<30 cm),0.00871,3.17,3.3,17.1,4.4,3.8,3.19,2680,NA,NA,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,
