"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"","","","","","","","","","","","","Panto-","","Cho-",""
"Life Stage","Vitamin","Vitamin","Vitamin","Vitamin E","Vitamin","Thia-","Ribo-","Niacin","Vitamin","Folate","Vitamin","thenic","Bio-","line","Carote-"
"Group","A (μg/d)a","C (mg/d)","D (μg/d)","(mg/d)b,c","K","min","flavin","(mg/d)  c","B6 (mg/d)","(μg/d)  c","B12","Acid","tin","(g/d)","noids  d"
"Infants","","","","","","","","","","","","","","",""
"0 to 6 mo","600","NDe","25","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"6 to 12 mo","600","ND","38","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND","ND"
"Children","","","","","","","","","","","","","","",""
"1−3 y","600","400","63","200","ND","ND","ND","10","30","300","ND","ND","ND","1.0","ND"
"4−8 y","900","650","75","300","ND","ND","ND","15","40","400","ND","ND","ND","1.0","ND"
"Males","","","","","","","","","","","","","","",""
"9−13 y","1,700","1,200","100","600","ND","ND","ND","20","60","600","ND","ND","ND","2.0","ND"
"14−18 y","2,800","1,800","100","800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
"19−30 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"31−50 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"51−70 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"> 70 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Females","","","","","","","","","","","","","","",""
"9−13 y","1,700","1,200","100","600","ND","ND","ND","20","60","600","ND","ND","ND","2.0","ND"
"14−18 y","2,800","1,800","100","800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
"19−30 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"31−50 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"51−70 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"> 70 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Pregnancy","","","","","","","","","","","","","","",""
"14−18 y","2,800","1,800","100","800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
"19−30 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"31−50 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"Lactation","","","","","","","","","","","","","","",""
"14−18 y","2,800","1,800","100","800","ND","ND","ND","30","80","800","ND","ND","ND","3.0","ND"
"19−30 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
"31−50 y","3,000","2,000","100","1,000","ND","ND","ND","35","100","1,000","ND","ND","ND","3.5","ND"
