"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","","","","","Ribo-","",""
"Life Stage","CHO","Protein Vit A","","Vit C","Vit E","Thiamin","flavin","Niacin","Vit B6"
"Group","(g/d)","(g/kg/d)(mg/d)a","","(mg/d)","(mg/d)b","(mg/d)","(mg/d)","(mg/d)c","(mg/d)"
