"V1","V2","V3","V4","V5"
"","","Range (percent of energy)","",""
"Macronutrient","","Children, 1–3 y","Children, 4–18 y","Adults"
"Fat","","30–40","25–35","20–35"
"n-6 polyunsaturated fatty acids a(linoleic acid)","","5–10","5–10","5–10"
"n-3 polyunsaturated fatty acidsa (α-linolenic acid)","","0.6–1.2","0.6–1.2","0.6–1.2"
"Carbohydrate","","45–65","45–65","45–65"
"Protein","","5–20","10–30","10–35"
