"V1","V2","V3","V4","V5","V6","V7","V8"
"Manganese","Molybdenum","Phosphorus","Selenium","Zinc","Potassium","Sodium","Chloride"
"(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(g/d)","(g/d)","(g/d)"
