"country","iso3","year","catch_mt"
"Albania","ALB",2012,7109
"Algeria","DZA",2012,105621
"American Samoa","ASM",2012,6109
"Angola","AGO",2012,356000
"Anguilla","AIA",2012,981
"Antigua & Barbuda","ATG",2012,5951
"Argentina","ARG",2012,723737
"Aruba","ABW",2012,138
"Australia","AUS",2012,169064
"Bahamas","BHS",2012,16728.459
"Bahrain","BHR",2012,12987
"Bangladesh","BGD",2012,578620
"Barbados","BRB",2012,1361
"Belgium","BEL",2012,24375
"Belize","BLZ",2012,171883
"Benin","BEN",2012,12158
"Bermuda","BMU",2012,516
"Caribbean Netherlands","BES",2012,156
"Bosnia & Herzegovina","BIH",2012,5
"Brazil","BRA",2012,583560
"British Indian Ocean Territory","IOT",2012,10
"British Virgin Islands","VGB",2012,1196
"Brunei","BRN",2012,4523
"Bulgaria","BGR",2012,8153
"Cape Verde","CPV",2012,20943
"Cambodia","KHM",2012,117695
"Cameroon","CMR",2012,145000
"Canada","CAN",2012,774060
"Cayman Islands","CYM",2012,125
"Chile","CHL",2012,2542327
"China","CHN",2012,12941400
"Hong Kong SAR China","HKG",2012,155230
"Macau SAR China","MAC",2012,1500
"Colombia","COL",2012,50573
"Comoros","COM",2012,36296
"Congo - Brazzaville","COG",2012,43184
"Congo - Kinshasa","COD",2012,4000
"Cook Islands","COK",2012,8307
"Costa Rica","CRI",2012,14995
"Côte d’Ivoire","CIV",2012,61410
"Croatia","HRV",2012,63931
"Cuba","CUB",2012,20694
"Curaçao","CUW",2012,24994
"Cyprus","CYP",2012,1303
"Denmark","DNK",2012,502595
"Djibouti","DJI",2012,2167
"Dominica","DMA",2012,625
"Dominican Republic","DOM",2012,12711
"Ecuador","ECU",2012,512102
"Egypt","EGY",2012,114183
"El Salvador","SLV",2012,47364
"Equatorial Guinea","GNQ",2012,9758
"Eritrea","ERI",2012,4452
"Estonia","EST",2012,64281
"Ethiopia","ETH",2012,0
"Falkland Islands","FLK",2012,95716
"Faroe Islands","FRO",2012,360471
"Fiji","FJI",2012,41295
"Finland","FIN",2012,138838
"France","FRA",2012,430158
"French Guiana","GUF",2012,3965
"French Polynesia","PYF",2012,13899
"French Southern Territories","ATF",2012,480
"Gabon","GAB",2012,25500
"Gambia","GMB",2012,31091
"Georgia","GEO",2012,12049
"Germany","DEU",2012,198536
"Ghana","GHA",2012,276044
"Gibraltar","GIB",2012,1
"Greece","GRC",2012,60097
"Greenland","GRL",2012,222894
"Grenada","GRD",2012,2260
"Guadeloupe","GLP",2012,4650
"Guam","GUM",2012,354
"Guatemala","GTM",2012,17631
"Guinea","GIN",2012,112233
"Guinea-Bissau","GNB",2012,6679
"Guyana","GUY",2012,53044
"Haiti","HTI",2012,15880
"Honduras","HND",2012,10133
"Iceland","ISL",2012,1357052
"India","IND",2012,3408954
"Indonesia","IDN",2012,5387708
"Iran","IRN",2012,453097
"Iraq","IRQ",2012,9696
"Ireland","IRL",2012,275816
"Isle of Man","IMN",2012,6172
"Israel","ISR",2012,2274
"Italy","ITA",2012,197420
"Jamaica","JAM",2012,11226
"Japan","JPN",2012,3604161
"Jordan","JOR",2012,218
"Kenya","KEN",2012,8813
"Kiribati","KIR",2012,77713
"North Korea","PRK",2012,208300
"South Korea","KOR",2012,1651102
"Kuwait","KWT",2012,4030
"Latvia","LVA",2012,94199
"Lebanon","LBN",2012,3120
"Liberia","LBR",2012,11500
"Libya","LBY",2012,35000
"Lithuania","LTU",2012,65357
"Madagascar","MDG",2012,89576
