age_ear	age_genus	age_wb	age_final
0-0.5	0-4	0-4	NA*
0.5-1	0-4	0-4	NA*
1-3	0-4	0-4	NA*
4-8	5-9	5-9	5-9
9-13	10-14	10-14	10-14
14-18	15-19	15-19	15-19
19-30	20-24	20-24	20-24
19-30	25-29	25-29	25-29
31-50	30-34	30-34	30-34
31-50	35-39	35-39	35-39
31-50	40-44	40-44	40-44
31-50	45-49	45-49	45-49
51-70	50-54	50-54	50-54
51-70	55-59	55-59	55-59
51-70	60-64	60-64	60-64
51-70	65-69	65-69	65-69
>70	70-74	70-74	70-74
>70	75-79	75-79	75-79
>70	80+	80+	80+
