,,YEAR,1961,1961,1961,1962,1962,1962,1963,1963,1963,1964,1964,1964,1965,1965,1965,1966,1966,1966,1967,1967,1967,1968,1968,1968,1969,1969,1969,1970,1970,1970,1971,1971,1971,1972,1972,1972,1973,1973,1973,1974,1974,1974,1975,1975,1975,1976,1976,1976,1977,1977,1977,1978,1978,1978,1979,1979,1979,1980,1980,1980,1981,1981,1981,1982,1982,1982,1983,1983,1983,1984,1984,1984,1985,1985,1985,1986,1986,1986,1987,1987,1987,1988,1988,1988,1989,1989,1989,1990,1990,1990,1991,1991,1991,1992,1992,1992,1993,1993,1993,1994,1994,1994,1995,1995,1995,1996,1996,1996,1997,1997,1997,1998,1998,1998,1999,1999,1999,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011
,,VALUE,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI,Median,Low 95% UI,High 95% UI
,,UNIT,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day,mg/person/day
ISO3,COUNTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Afghanistan,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
ALB,Albania,,6.4218,6.0342,8.1468,6.3693,6.0088,8.1891,*,*,*,*,*,*,*,*,*,6.1175,5.8044,7.3336,*,*,*,6.3508,6.0337,7.3894,6.4241,6.111,7.7262,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,6.2978,6.1438,6.5054,6.8346,6.6633,7.1017,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,7.0592,6.8236,7.6279,6.9635,6.7715,7.3407,7.7365,7.4661,8.5302,8.3058,7.9258,10.3164,8.8479,8.4422,11.7773,8.6466,8.3814,9.3507,9.2609,9.0158,10.0518,8.5511,8.3145,8.8651,8.6093,8.3737,8.9826,8.922,8.6535,9.3379,8.831,8.5196,9.6147,9.0434,8.7675,10.0304,9.5098,9.1982,10.7279,9.5649,9.2443,10.5321,9.5932,9.3244,9.938,9.8814,9.5629,10.3203,10.2229,9.8454,11.0933,10.2579,9.8499,11.6106,10.196,9.7713,13.0524,10.2461,9.783,13.9906,10.674,10.1816,14.5838,10.8684,10.3585,15.2002
DZA,Algeria,,5.6018,5.2236,5.748,5.2679,4.9375,5.3996,5.2964,4.8711,5.4211,5.1977,4.8113,5.332,5.4425,5.0339,5.5696,5.1153,4.7903,5.2522,5.275,4.9385,5.4095,5.8016,5.3742,5.9441,5.7954,5.3582,5.9526,5.7214,5.2968,5.8967,5.7158,5.3271,5.8918,6.1141,5.7028,6.3098,6.0943,5.7203,6.2821,6.0782,5.7679,6.2831,6.3919,6.0773,6.5888,6.4006,6.086,6.5942,6.4354,6.1437,6.6375,6.7067,6.4405,6.8902,6.7705,6.52,6.9852,7.0527,6.7977,7.2624,6.9014,6.6327,7.1088,6.9592,6.7048,7.1834,7.0653,6.8156,7.29,6.9917,6.7312,7.2225,7.4632,7.178,7.6964,7.6547,7.3725,7.902,7.6239,7.3416,7.8878,7.6977,7.4125,7.9563,7.8429,7.5533,8.0923,7.877,7.5568,8.1484,8.1086,7.7289,8.4183,8.4602,8.0967,8.7633,8.2875,7.9308,8.5821,8.086,7.7448,8.4182,8.2266,7.8849,8.569,8.5926,8.2344,8.9217,8.0908,7.7524,8.4218,8.7435,8.3715,9.0832,8.6916,8.34,9.0459,7.7114,7.4886,7.9679,8.0299,7.7669,8.3238,8.3916,8.0899,8.6985,8.7863,8.4822,9.1148,8.8629,8.5929,9.1411,9.0109,8.7374,9.2872,9.0419,8.7399,9.3304,9.0341,8.6839,9.3998,8.9398,8.6398,9.2531,9.3068,9.0112,9.6388,9.3827,9.072,9.7754,9.7727,9.4397,10.208
AGO,Angola,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,9.8194,9.3164,10.472
ATG,Antigua and Barbuda,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5.6532,3.9456,18.9842,6.4059,4.5926,19.7142,6.4661,4.5696,19.8773,6.6525,4.6507,20.7346,*,*,*,8.0426,5.614,25.099,8.0932,5.6339,24.3711,8.021,5.5701,25.9369,10.8836,6.0452,27.8978,10.6947,6.3877,30.9931,10.3903,6.2176,25.5385,10.6405,6.2716,25.748,11.4738,5.9973,26.6332,12.0755,6.1149,27.0833,17.588,6.0219,32.8255,16.8507,5.6965,32.4237,13.6341,5.6139,25.9156,12.3776,5.3673,24.7654,11.8383,5.3758,22.4933,12.5846,5.6376,23.1756,13.8985,5.6237,27.0736,13.4572,5.5853,29.0976,11.1802,5.352,22.3335,11.7645,5.3527,21.9152,12.9756,5.4674,24.3775,12.6846,5.1494,25.3964,12.3651,6.2211,27.6086,12.9517,6.3971,26.7085,15.107,7.1309,31.8857,15.6461,7.1103,36.0908,15.4028,6.9052,35.0592,15.2206,6.9007,34.2288,15.0192,6.7348,33.0459
ARG,Argentina,,17.8554,11.8871,77.0036,16.7849,11.6595,77.2182,16.5215,11.7607,77.02,15.2614,10.5156,61.6032,16.2842,11.2907,63.7917,16.1806,11.4595,70.2974,16.3481,11.7561,72.3433,17.2305,12.2996,76.3388,17.6709,12.7413,80.504,17.3809,12.1838,74.8655,16.2368,11.1497,60.7764,15.3309,10.4151,58.566,15.384,10.6516,61.161,16.5813,11.5667,68.1575,17.145,12.2408,75.9661,17.076,12.2917,77.5104,16.8305,12.2331,77.0061,17.2677,12.4746,79.8803,17.0202,12.0569,76.3368,17.6352,12.1135,77.8179,17.9074,12.2471,77.9397,16.5966,11.0117,66.7763,16.2534,10.7603,64.4216,16.5929,11.1054,68.2301,17.0901,11.722,75.0736,16.341,10.8503,67.0543,16.3911,11.2973,65.8467,15.6198,10.7344,61.5057,16.2889,10.557,61.6266,15.703,10.3581,59.9548,15.679,10.2408,60.7191,15.5709,10.7219,59.7654,16.0379,11.1871,60.0626,15.6557,10.7858,57.3634,15.6605,10.717,53.9365,15.8288,10.8017,53.4197,16.1582,11.0231,54.7286,16.8261,11.3677,55.4305,17.7517,11.9612,58.8163,17.5133,11.7769,57.8456,16.9372,11.488,55.6669,15.0754,10.35,51.1444,15.5735,10.3993,53.6371,15.8135,10.3658,54.9057,16.6494,10.8073,55.6208,17.4793,11.3389,56.2515,17.2413,10.9735,55.9121,17.6388,11.116,56.1513,18.0422,11.1318,56.6444,17.7799,11.2036,57.0833,18.1096,11.4719,58.02
