"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Spinachia_spinachia","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Culaea_inconstans","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Pungitius_pungitius","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Pungitius_sinensis","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Gasterosteus_aculeatus_aculeatus","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Gasterosteus_wheatlandi","Anoplopoma_fimbria",3.85774342971562,0.329500710394082,16.74927312521
"Hypoptychus_dybowskii","Anoplopoma_fimbria",3.85774342199668,0.329501056235704,16.7492684517043
"Normanichthys_crockeri","Chelidonichthys_spinosus",3.87173230485619,0.268994853910195,17.702814733289
"Trigla_lyra","Chelidonichthys_spinosus",3.73340695529162,0.365563612535118,15.4072484055201
"Chelidonichthys_lucerna","Chelidonichthys_spinosus",3.42232990550873,0.693553951367225,10.5479059745149
"Eutrigla_gurnardus","Chelidonichthys_spinosus",3.48834489674044,0.6051818745169,11.5501291983869
"Trigloporus_lastoviza","Chelidonichthys_spinosus",3.48834484578921,0.60518225736869,11.5501259201219
"Chelidonichthys_obscurus","Chelidonichthys_spinosus",3.48834484578921,0.605182257368691,11.5501259201219
"Aspitrigla_cuculus","Chelidonichthys_spinosus",3.48834489674044,0.6051818745169,11.5501291983869
"Lepidotrigla_cavillone","Chelidonichthys_spinosus",3.68033360776664,0.408665275745729,14.5505520418208
"Lepidotrigla_grandis","Chelidonichthys_spinosus",3.68033360776664,0.408665275745729,14.5505520418208
"Lepidotrigla_argus","Chelidonichthys_spinosus",3.68033363678454,0.408664923430601,14.5505561239284
"Lepidotrigla_microptera","Chelidonichthys_spinosus",3.68033360776664,0.408665275745729,14.5505520418208
"Lepidotrigla_papilio","Chelidonichthys_spinosus",3.68033363678454,0.408664923430601,14.5505561239284
"Lepidotrigla_spinosa","Chelidonichthys_spinosus",3.68033363678454,0.408664923430601,14.5505561239284
"Prionotus_scitulus","Chelidonichthys_spinosus",3.74276469025357,0.358351649486758,15.5596419127662
"Bellator_xenisma","Chelidonichthys_spinosus",3.74276469025357,0.358351649486758,15.5596419127662
"Prionotus_stephanophrys","Chelidonichthys_spinosus",3.74276466857864,0.358351995086142,15.5596375482125
"Peristedion_gracile","Chelidonichthys_spinosus",3.75370912590614,0.350054689302373,15.7383963277817
"Peristedion_miniatum","Chelidonichthys_spinosus",3.75370912590614,0.350054689302374,15.7383963277817
