"type","class","order","family","genus","species","sciname"
"fish","Actinopterygii","Perciformes","Cichlidae","Oreochromis","niloticus","Oreochromis niloticus"
"fish","Actinopterygii","Perciformes","Cichlidae","Oreochromis","mossambicus","Oreochromis mossambicus"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","ringens","Engraulis ringens"
"fish","Actinopterygii","Perciformes","Coryphaenidae","Coryphaena","hippurus","Coryphaena hippurus"
"fish","Actinopterygii","Perciformes","Serranidae","Epinephelus","morio","Epinephelus morio"
"fish","Actinopterygii","Perciformes","Serranidae","Epinephelus","striatus","Epinephelus striatus"
"fish","Actinopterygii","Osmeriformes","Argentinidae","Argentina","sphyraena","Argentina sphyraena"
"fish","Actinopterygii","Clupeiformes","Clupeidae","Clupea","harengus","Clupea harengus"
"fish","Actinopterygii","Pleuronectiformes","Pleuronectidae","Glyptocephalus","cynoglossus","Glyptocephalus cynoglossus"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","boscii","Lepidorhombus boscii"
"fish","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus","whiffiagonis","Lepidorhombus whiffiagonis"
"fish","Actinopterygii","Gadiformes","Gadidae","Merlangius","merlangus","Merlangius merlangus"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","merluccius","Merluccius merluccius"
"fish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","poutassou","Micromesistius poutassou"
"fish","Actinopterygii","Gadiformes","Lotidae","Molva","molva","Molva molva"
"fish","Actinopterygii","Gadiformes","Gadidae","Pollachius","pollachius","Pollachius pollachius"
"fish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","anguilla","Anguilla anguilla"
"fish","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","marinus","Ammodytes marinus"
"fish","Actinopterygii","Perciformes","Gobiidae","Aphia","minuta","Aphia minuta"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys","cuculus","Chelidonichthys cuculus"
"fish","Actinopterygii","Beloniformes","Belonidae","Belone","belone","Belone belone"
"fish","Actinopterygii","Gadiformes","Lotidae","Brosme","brosme","Brosme brosme"
"fish","Actinopterygii","Perciformes","Caproidae","Capros","aper","Capros aper"
"fish","Actinopterygii","Perciformes","Cepolidae","Cepola","macrophthalma","Cepola macrophthalma"
"fish","Actinopterygii","Perciformes","Labridae","Ctenolabrus","rupestris","Ctenolabrus rupestris"
"fish","Actinopterygii","Scorpaeniformes","Cyclopteridae","Cyclopterus","lumpus","Cyclopterus lumpus"
"fish","Actinopterygii","Perciformes","Moronidae","Dicentrarchus","labrax","Dicentrarchus labrax"
"fish","Actinopterygii","Clupeiformes","Engraulidae","Engraulis","encrasicolus","Engraulis encrasicolus"
"fish","Actinopterygii","Scorpaeniformes","Triglidae","Eutrigla","gurnardus","Eutrigla gurnardus"
"fish","Actinopterygii","Gadiformes","Gadidae","Gadus","morhua","Gadus morhua"
"fish","Actinopterygii","Perciformes","Carangidae","Caranx","hippos","Caranx hippos"
"fish","Actinopterygii","Scorpaeniformes","Sebastidae","Helicolenus","dactylopterus","Helicolenus dactylopterus"
"fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","platypterus","Istiophorus platypterus"
"fish","Actinopterygii","Perciformes","Istiophoridae","Istiophorus","albicans","Istiophorus albicans"
"fish","Actinopterygii","Gonorynchiformes","Chanidae","Chanos","chanos","Chanos chanos"
"fish","Actinopterygii","Perciformes","Lutjanidae","Aphareus","rutilans","Aphareus rutilans"
"fish","Actinopterygii","Perciformes","Lutjanidae","Aprion","virescens","Aprion virescens"
"fish","Actinopterygii","Perciformes","Lutjanidae","Apsilus","fuscus","Apsilus fuscus"
"fish","Elasmobranchii","Lamniformes","Lamnidae","Lamna","nasus","Lamna nasus"
"fish","Actinopterygii","Perciformes","Scombridae","Acanthocybium","solandri","Acanthocybium solandri"
"fish","Actinopterygii","Perciformes","Scombridae","Allothunnus","fallai","Allothunnus fallai"
"fish","Actinopterygii","Perciformes","Scombridae","Euthynnus","affinis","Euthynnus affinis"
"fish","Actinopterygii","Perciformes","Scombridae","Euthynnus","alletteratus","Euthynnus alletteratus"
"fish","Actinopterygii","Perciformes","Scombridae","Euthynnus","lineatus","Euthynnus lineatus"
"fish","Actinopterygii","Perciformes","Scombridae","Gasterochisma","melampus","Gasterochisma melampus"
"fish","Actinopterygii","Perciformes","Scombridae","Gymnosarda","unicolor","Gymnosarda unicolor"
"fish","Actinopterygii","Perciformes","Scombridae","Katsuwonus","pelamis","Katsuwonus pelamis"
"fish","Actinopterygii","Perciformes","Scombridae","Orcynopsis","unicolor","Orcynopsis unicolor"
"fish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","brachysoma","Rastrelliger brachysoma"
"fish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","kanagurta","Rastrelliger kanagurta"
"fish","Actinopterygii","Perciformes","Scombridae","Sarda","orientalis","Sarda orientalis"
"fish","Actinopterygii","Perciformes","Scombridae","Sarda","sarda","Sarda sarda"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","australasicus","Scomber australasicus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","japonicus","Scomber japonicus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomber","scombrus","Scomber scombrus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","brasiliensis","Scomberomorus brasiliensis"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","cavalla","Scomberomorus cavalla"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","commerson","Scomberomorus commerson"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","guttatus","Scomberomorus guttatus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","lineolatus","Scomberomorus lineolatus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","maculatus","Scomberomorus maculatus"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","niphonius","Scomberomorus niphonius"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","regalis","Scomberomorus regalis"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","sierra","Scomberomorus sierra"
"fish","Elasmobranchii","Squaliformes","Squalidae","Squalus","acanthias","Squalus acanthias"
"fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","tritor","Scomberomorus tritor"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","alalunga","Thunnus alalunga"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","albacares","Thunnus albacares"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","atlanticus","Thunnus atlanticus"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","maccoyii","Thunnus maccoyii"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","obesus","Thunnus obesus"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","thynnus","Thunnus thynnus"
"fish","Actinopterygii","Perciformes","Scombridae","Thunnus","tonggol","Thunnus tonggol"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","guttatus","Lutjanus guttatus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","kasmira","Lutjanus kasmira"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","malabaricus","Lutjanus malabaricus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","peru","Lutjanus peru"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","purpureus","Lutjanus purpureus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","quinquelineatus","Lutjanus quinquelineatus"
"fish","Actinopterygii","Elopiformes","Elopidae","Elops","saurus","Elops saurus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","russellii","Lutjanus russellii"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","sebae","Lutjanus sebae"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","synagris","Lutjanus synagris"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","vivanus","Lutjanus vivanus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Ocyurus","chrysurus","Ocyurus chrysurus"
"fish","Actinopterygii","Perciformes","Sparidae","Boops","boops","Boops boops"
"fish","Actinopterygii","Perciformes","Sparidae","Sarpa","salpa","Sarpa salpa"
"fish","Actinopterygii","Perciformes","Lutjanidae","Rhomboplites","aurorubens","Rhomboplites aurorubens"
"fish","Actinopterygii","Perciformes","Istiophoridae","Makaira","nigricans","Makaira nigricans"
"fish","Actinopterygii","Perciformes","Istiophoridae","Istiompax","indica","Istiompax indica"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","albida","Kajikia albida"
"fish","Actinopterygii","Perciformes","Istiophoridae","Kajikia","audax","Kajikia audax"
"fish","Actinopterygii","Perciformes","Xiphiidae","Xiphias","gladius","Xiphias gladius"
"fish","Actinopterygii","Elopiformes","Megalopidae","Megalops","cyprinoides","Megalops cyprinoides"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Coregonus","lavaretus","Coregonus lavaretus"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Salmo","salar","Salmo salar"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Salmo","trutta","Salmo trutta"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","mykiss","Oncorhynchus mykiss"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","gorbuscha","Oncorhynchus gorbuscha"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","keta","Oncorhynchus keta"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","nerka","Oncorhynchus nerka"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","tshawytscha","Oncorhynchus tshawytscha"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","kisutch","Oncorhynchus kisutch"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","fontinalis","Salvelinus fontinalis"
"fish","Actinopterygii","Salmoniformes","Salmonidae","Salvelinus","alpinus","Salvelinus alpinus"
"fish","Actinopterygii","Osmeriformes","Osmeridae","Mallotus","villosus","Mallotus villosus"
"fish","Actinopterygii","Aulopiformes","Synodontidae","Harpadon","nehereus","Harpadon nehereus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","johnii","Lutjanus johnii"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","gibbus","Lutjanus gibbus"
"fish","Actinopterygii","Perciformes","Lutjanidae","Lutjanus","griseus","Lutjanus griseus"
"fish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","japonica","Anguilla japonica"
"fish","Actinopterygii","Anguilliformes","Anguillidae","Anguilla","rostrata","Anguilla rostrata"
"fish","Actinopterygii","Anguilliformes","Muraenesocidae","Muraenesox","cinereus","Muraenesox cinereus"
"fish","Actinopterygii","Anguilliformes","Congridae","Conger","orbignianus","Conger orbignianus"
"fish","Actinopterygii","Anguilliformes","Congridae","Conger","oceanicus","Conger oceanicus"
"fish","Actinopterygii","Anguilliformes","Congridae","Conger","conger","Conger conger"
"fish","Actinopterygii","Anguilliformes","Congridae","Conger","myriaster","Conger myriaster"
"fish","Actinopterygii","Beloniformes","Scomberesocidae","Cololabis","saira","Cololabis saira"
"fish","Actinopterygii","Gadiformes","Moridae","Salilota","australis","Salilota australis"
"fish","Actinopterygii","Gadiformes","Gadidae","Gadus","macrocephalus","Gadus macrocephalus"
"fish","Actinopterygii","Gadiformes","Phycidae","Urophycis","chuss","Urophycis chuss"
"fish","Actinopterygii","Gadiformes","Gadidae","Eleginus","gracilis","Eleginus gracilis"
"fish","Actinopterygii","Gadiformes","Gadidae","Microgadus","tomcod","Microgadus tomcod"
"fish","Actinopterygii","Gadiformes","Gadidae","Boreogadus","saida","Boreogadus saida"
"fish","Actinopterygii","Gadiformes","Gadidae","Micromesistius","australis","Micromesistius australis"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","senegalensis","Merluccius senegalensis"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","australis","Merluccius australis"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","bilinearis","Merluccius bilinearis"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","hubbsi","Merluccius hubbsi"
"fish","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","productus","Merluccius productus"
