"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"","","","Calci-","","","Fluo-","","","Magne-"
"Life Stage","Arse-","Boron","um","Chro-","Copper","ride","Iodine","Iron","sium"
"Group","nica","(mg/d)","(g/d)","mium","(mg/d)","(mg/d)","(mg/d)","(mg/d)","(mg/d)b"
