"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"Ribo-","Niacin","Vitamin B6","Folate","Vitamin","Pantothenic","","Choline","Carote-"
"flavin","(mg/d)c","(mg/d)","(mg/d)c","B12","Acid","Biotin","(g/d)","noidsd"
