"V1","V2","V3"
"","Range (percent of energy)",""
"","Children, Children,",""
"Macronutrient","1–3 y 4–18 y","Adults"
"Fat","30–40 25–35","20–35"
"n-6 Polyunsaturated fatty acidsa","",""
"(linoleic acid)","5–10 5–10","5–10"
"n-3 Polyunsaturated fatty acidsa","",""
"(a-linolenic acid)","0.6–1.2 0.6–1.2","0.6–1.2"
"Carbohydrate","45–65 45–65","45–65"
"Protein","5–20 10–30","10–35"
